Unnamed: 0,pl_name,pl_orbsmax,pl_orbsmaxerr1,pl_orbsmaxerr2,pl_orbsmaxlim,pl_eqt,pl_eqterr1,pl_eqterr2,pl_eqtlim,st_teff,st_tefferr1,st_tefferr2,st_tefflim,st_rad,st_raderr1,st_raderr2,st_radlim,type,"""pl_eqt"""
2418,Kepler-321 b,0.057,,,0.0,1042.0,,,0.0,5772.0,104.0,-127.0,0.0,0.956,0.147,-0.053,0.0,hot,
2419,Kepler-321 c,0.105,,,0.0,739.0,,,0.0,5692.0,,,0.0,0.909,,,0.0,hot,
2421,Kepler-322 c,0.0471,,,0.0,1016.0,,,0.0,5496.0,177.0,-157.0,0.0,0.827,0.932,-0.106,0.0,hot,
2424,Kepler-324 b,0.05,,,0.0,909.0,,,0.0,5319.0,84.0,-84.0,0.0,0.75,0.68,-0.68,0.0,hot,
2425,Kepler-324 c,0.2624,,,0.0,413.0,,,0.0,5355.0,171.0,-138.0,0.0,0.803,0.252,-0.058,0.0,hot,
2426,Kepler-324 e,0.1096,,,0.0,639.0,,,0.0,5355.0,171.0,-138.0,0.0,0.803,0.252,-0.058,0.0,hot,
2427,Kepler-325 b,0.0522,,,0.0,1017.0,,,0.0,5445.0,81.0,-81.0,0.0,0.937,0.105,-0.078,0.0,hot,
2428,Kepler-325 c,0.1029,,,0.0,783.0,,,0.0,5749.0,166.0,-152.0,0.0,0.982,0.37,-0.13,0.0,hot,
2429,Kepler-325 d,0.2157,,,0.0,541.0,,,0.0,5749.0,166.0,-152.0,0.0,0.982,0.37,-0.13,0.0,hot,
2431,Kepler-326 c,0.0506,,,0.0,889.0,,,0.0,5103.0,101.0,-101.0,0.0,0.789,0.052,-0.037,0.0,hot,
2433,Kepler-327 b,0.029,,,0.0,690.0,,,0.0,3799.0,64.0,-101.0,0.0,0.492,0.05,-0.05,0.0,hot,
2434,Kepler-327 c,0.0467,,,0.0,544.0,,,0.0,3799.0,64.0,-101.0,0.0,0.492,0.05,-0.05,0.0,hot,
